resource_id;name;address;zip;Phone Number;url
124;UCI Health - Infectious Disease Services;101 The City Dr S;92868;(714) 456-7720;https://www.ucihealth.org/Medi-Cal-services/infectious-disease
126;Northbay Wound Care - Vacaville;1010 Nut Tree Rd;95687;(707) 624-7979;https://www.northbay.org/services/wound-care/index.cfm
128;Las Palmas Health Center;1010 W Las Palmas Ave;95363;(833) 850-3500;https://www.visitlch.org/
131;Kaiser Permanente - Roseville Medical Offices - Riverside Ophthalmology;1011 Riverside Ave;95678;(916) 784-4185;https://thrive.kaiserpermanente.org/care-near-you/northern-california/northvalley/departments/ophthalmology/
139;The Orthopedic Specialty of Northern California;1013 Galleria Blvd;95678;(916) 918-2952;https://toscnorcal.com/
142;California Human Development;1015 Center Dr;95403;(707) 523-1155;https://californiahumandevelopment.org/training-joBlue Shield/employment-services/
144;Renaissance Recovery;10175 Slater Ave;92708;(866) 330-9449;https://www.renaissancerecovery.com/
145;New Life Chapel - New Life Line Food Ministry;10184 Seventh Ave;92345;(760) 244-9050;http://frc.vesd.net/community_resources/emergency_food
149;Sutter Medical Foundation;1020 29th St;95816;(916) 455-3700;https://www.sutterhealth.org/find-doctor/dr-ginger-r-mcmullen?utm_source=yelp&utm_medium=social&utm_content=branded-url&utm_campaign=smf-yelp-doctors, https://www.sutterhealth.org/find-location/facility/sutter-medical-center
150;Sutter Medical Foundation;1020 29th St;95816;(916) 733-3792;https://www.sutterhealth.org/smf/find-doctor/dr-mirza-a-alikhan?is-physician=true&care-specialty=Dermatology&medical-group=sutter-medical-foundation
151;Sutter Medical Foundation - Bone Marrow Transplant Services;1020 29th St;95816;(916) 733-4400;https://www.sutterhealth.org/services/cancer/blood-stem-cell-transplant, https://www.sutterhealth.org/doctor-search/results?specialty=Hematology&location=Sacramento%2C+CA+95816&zip=95816&lat=38.58001840000001&lng=-121.4627576&medical-group=&health-plan=&health-plan-product=
157;Northbay Specialty Pharmacy - VacaValley Wellness Center;1020 Nut Tree Rd;95687;(707) 624-8072;https://www.northbay.org/services/specialty-pharmacy/index.cfm
158;Vacaville Cultural Center Library;1020 Ulatis Dr;95687;(866) 572-7587;https://solanolibrary.com/hours-and-locations/vacaville-cultural-center-library/
161;Oakland Public Library - 81st Avenue Branch;1021 81st Ave;94621;(510) 615-5812;http://www.oaklandlibrary.org/Branches/81st/81sthrs.html
164;Riverside Comprehensie Treatment Center;1021 W La Cadena Dr;92501;(951) 749-9240;https://www.acadialhealthcare.com
167;Gilead House;1024 7th St;94945;(415) 895-5575;https://www.gileadhouse.org/
168;Employment Services Agency;10240 Lakewood Blvd;90241;(562) 928-6600;https://www.esatemps.com
169;Health and Human Services;1025 Escobar St;94553;(877) 505-4630;https://www.contracosta.ca.gov/122/Health-and-Human-Services
170;MCCN La Puente Clinic;1025 N Willow Ave;91746;(818) 895-3100;https://mccn.org/la-puente
175;1 Method Center;10254 Bannockburn Dr;90064;(800) 270-1389;https://methodtreatment.com/
186;CVS Pharmacy - Store #3862;1030 Pleasant Grove Blvd;95678;(916) 780-4733;https://www.cvs.com/store-locator/cvs-pharmacy-address/1030+Pleasant+Grove+Boulevard-Roseville-CA-95678/storeid=3862?WT.mc_id=LS_GOOGLE_FS_3862
188;Community Medical Center, Inc;1031 Waterloo Rd;95205;(209) 940-5600;http://www.communityMedi-Calcenters.org/
193;Dr. Judith Friedman, MD;1036 Sir Francis Drake Blvd;94904;(415) 713-6745;https://www.drughelpcenters.com/physician/judith-friedman
200;Hathaway Recovery;1042 Belmont Abbey Ln;91711;(909) 971-3333;https://hishouserehab.com/
201;WellSpace Health - Rancho Cordova Community Health Center;10423 Old Placerville Rd;95827;(916) 737-5555;https://www.wellspacehealth.org/location/rancho-cordova-community-health-center
202;LA CADA Allen House;10425 Painter Ave;90670;(562) 906-2685;https://www.lacada.info/wp-content/uploads/2019/02/AllenHouseBroch.pdf
203;Lifeline Treatment Services;10429 International Blvd;94603;(510) 777-8448;https://www.americanhealthservices.org/oakland-california.html
215;CVS Pharmacy - Store #16833;10451 Fairway Dr;95678;(916) 780-2898;https://www.cvs.com/store-locator/cvs-pharmacy-address/10451+Fairway+Dr-Roseville-CA-95678/storeid=16833?WT.mc_id=LS_GOOGLE_RX_16833
218;Cordova Community Food Locker - St. John Vianney Parish;10497 Coloma Rd;95670;(916) 362-1385;https://sjvparish.com/serve/loaves-and-fishes
222;Aegis Treatment Centers;1050 N Garey Ave;91767;(909) 623-6391;https://www.mfirecovery.com/services
223;Envision Mental Health of Roseville;1050 Opportunity Dr;95678;(916) 625-6264;https://www.envisionmentalhealth.com/
233;310 Recovery, Inc - Outpatient Rehab;10533 Washington Blvd;90232;(310) 554-6875;https://310recovery.com/?UTM_source=GMB_310_iop&UTM_medium=organic
234;Food Finders, Inc;10539 Humbolt St;90720;(562) 283-1400;https://foodfinders.org/pantry-locator/
248;San Fernando Mental Health Center;10605 Balboa Blvd;91344;;http://www.sfvcc.org/
250;Wellness Retreat Recovery Center - Luxury Addiction Treatment in San Jose;10615 Crothers Rd;95127;(408) 539-6575;https://wellnessretreatrecovery.com/
251;Safeway Pharmacy - Folsom Bld Location;10635 Folsom Blvd;95670;(916) 364-4944;https://local.pharmacy.safeway.com/ca/rancho-cordova/10635-folsom-blvd.html
257;Ace Dental;1070 Pleasant Grv;95678;(916) 772-0111;https://acedentalroseville.com/#
266;Authentic Recovery Center Outpatient Treatment;10780 Santa Monica Blvd;90025;(866) 256-0051;https://www.arctreatment.com/?utm_source=google&utm_medium=local
270;Masada Homes;108 W Victoria St;90248;(310) 715-2020;https://masadahomes.org/
271;Merrill Center - Crisis Stabilization Unit;1080 Marina Village Pkwy;94501;(510) 337-7950;https://www.telecarecorp.com/contact
274;MENA Counseling Services;1084 N Hacienda Blvd;91744;(626) 678-4238;https://www.menacounseling.com/
275;HAART - Oakland;10850 Macarthur Blvd;94605;(510) 875-2300;http://www.haartoakland.org/
276;Food Bank Warriors of Christ;10891 Olive St;92316;(909) 953-5484;http://rugido.org/food-bank-bloomington-ca/
279;Food Distribution Center - First Methoist - Roseville;109 Washington Blvd;95678;(916) 783-3464;https://firstumcroseville.org/
280;Dental Office of Igor Babenkov, DDS;1090 Sunrise Ave;95661;(916) 772-2929;https://www.drbabenkov.com/
281;Food Help;10909 New St;90241;(562) 862-2438;http://downeyfirst.org
282;Casa Youth Shelter;10911 Reagan St;90720;(800) 914-2272;https://casayouthshelter.org/
283;ACCEPT Family Counseling;10918 Hesperia Rd;92345;(760) 949-2819;http://www.vbcounseling.com/index.html
284;Mindful Healing Mental Health Group, LLC;10927 Downey Ave;90241;(562) 450-3304;https://www.mindfulhealingmentalhealth.com
286;Walgreens Pharmacy;10955 W Magnolia Blvd;91601;(818) 760-3820;https://www.walgreens.com/findcare/services?ext=gmb
287;Mission Branch Library;1098 Lexington St;95050;(408) 615-2964;https://www.sclibrary.org/
289;Walgreens;10992 Magnolia Ave;92505;(951) 688-4154;https://www.walgreens.com/locator/walgreens-10992+magnolia+ave-riverside-ca-92505/id=13833
298;Jubilee Christian Center - Community Produce Program;11 Texas St;94509;(925) 757-5777;https://www.freefood.org
302;ACCESS - Institute for Psychological Services;110 Gough St;94102;(415) 861-5449;https://www.accessinst.org/
305;Downtown Library;1100 E St;94901;(415) 485-3323;https://srpubliclibrary.org/
310;Nirvana Drug and Alcohol;1100 Kansas Ave;95351;(209) 579-1151;https://nirvanatx.org/
311;ApexCare;1100 Melody Ln;95678;(916) 242-9111;https://apexcare.com/
312;ACCESS in Motion - Medical Transport;1100 Melody Ln;95678;(916) 660-3934;https://accessinmotion.com/index.php/transportation-service/rides
316;Alameda County Public Health Department;1100 San Leandro Blvd;94577;(510) 267-8000;https://acphd.org/
320;Ole Health;1101 B Gale Wilson Blvd;94533;(707) 419-8990;https://www.olehealth.org/who-we-are/whats-different-about-us/
321;Fort Help Mission, Inc;1101 Capp St;94110;(415) 821-1427;https://www.americanhealthservices.org/san-francisco-ca-94110.html
324;Walgreens Pharmacy;1101 Mchenry Ave;95350;(209) 577-8695;https://www.walgreens.com/
327;Addiction Free Recovery Services;1101 Standiford Ave;95350;(209) 579-3301;https://addictionfreemodesto.com/
328;Kelly Services;1101 Sylvan Ave;95350;(209) 577-4777;https://www.kellyservices.us/?utm_source=gmb-listing&utm_medium=organic&utm_campaign=all_both_local-listings&utm_content=modesto-ca
329;Safeway Medical Transportation, Inc;11026 Ventura Blvd;91604;(818) 764-8000;http://www.safewaymedtrans.com/
332;Aegis Treatment Centers - El Monte;11041 E Valley Blvd;91731;(626) 442-4177;https://pinnacletreatment.com/
333;Sacramento Dentistry Group;1105 E St;95814;(916) 538-6900;https://www.sacramentodentistry.com/
336;Dental Excellence of Greenhaven;1108 Corporate Way;95831;(916) 293-0504;https://www.sacramentosleepdentist.com/#!
337;Bee Medical Supply;11082 Coloma Rd;95670;(916) 638-2363;https://www.beemedicalsupplies.com/
342;Diablo Valley Drug and Alcohol Services;111 Deerwood Rd;94583;;https://findtreatment.gov/details/84cf0b4e18afa8986337ede3d2b38de82fc2a4b437e8dc19726c740389ea9e89?sAddr=37.7740147%2C%20-121.9892985
351;McCall Staffing Services;111 Pine St;94111;(415) 981-3400;http://www.mccallstaffing.com/
352;Certified Employment Group;111 Pine St;94111;(415) 433-3600;https://www.certifiedemployment.com/index.php
353;Uniqlo;111 Powell St;94108;;https://chargeitspot.com/
354;Kaiser Permanente - San Rafael Psychiatry and Addiction Medicine Services;111 Smith Ranch Rd;94903;(415) 491-3000;https://healthy.kaiserpermanente.org/northern-california/facilities/san-rafael-psychiatry-and-addiction-medicine-services-302081, https://www.drug-rehabs.org/rehab-center/Kaiser-Permanente-Medical-Group_San-Rafael_CA.htm
358;Kids Care Dental & Orthodontics;1110 Corporate Way;95831;(916) 391-2101;https://www.kidscaredental.com/
359;New Dental Images;1110 Corporate Way;95831;(916) 476-3608;https://www.newdentalimages.com/
363;Child and Adolescent Neurology Consultants;1111 Exposition Blvd;95815;(916) 649-9800;http://sacchildneurology.com/
364;Capital Nephrology Medical Group;1111 Exposition Blvd;95815;(916) 564-6232;https://www.cnmgonline.com/en/our-team
365;Liu Plastic Surgery;1111 Exposition Blvd;95815;(916) 678-4188;https://www.liuplasticsurgery.com/
366;Sacramento Ear, Nose & Throat;1111 Exposition Blvd;95815;(916) 736-3399;https://sacent.com/
367;AlternativesPC;1111 Howe Ave;95825;(916) 880-4040;http://alternativespc.org/
368;BAART Programs - Market;1111 Market St;94103;(415) 863-3883;https://baartprograms.com/
372;Downey City Library;11121 Brookshire Ave;90241;(562) 904-7360;https://www.downeylibrary.org
378;Capitol City Dental;1115 12th St;95814;(916) 443-6692;http://www.capitolcitydental.com/
379;Dr. Lulua Zulfikarali Bahrainwala, MD;1115 S Sunset Ave;91790;(626) 485-2190;https://doctor.webmd.com/doctor/lulua-bahrainwala-67ddbeb2-765b-4fab-9a6b-1ec51963ebec-overview
380;The Heights Treatment;11150 W Olympic Blvd;90064;(424) 835-6509;https://theheightstreatment.com/mentalhealthlp4/?gclid=CjwKCAjw2bmLBhBREiwAZ6ugo4S5spx4PnjHAJEFH4rrNQGUUJfxNZzbvsC1YJl7-lGwOWze1usJrxoCHXQQAvD_BwE
384;Advanced Hyperbaric Recovery;1118 Irwin St;94901;(415) 785-8652;https://hyperbaricoxygentherapy.com/home/about
386;Vacaville Family Health Services Center;1119 E Monte Vista Ave;95687;(707) 569-4640;https://www.solanocounty.com/depts/ph/fhs/locations_and_hours/vacaville_primary_care_clinic.asp
387;Adult Integrated Care Clinic - Vacaville;1119 E Monte Vista Ave;95688;(707) 469-4610;https://www.solanocounty.com/depts/mhs/service_locations/default.asp
388;Children's Mental Health Services;1119 E Monte Vista Ave;95688;(707) 469-4540;https://www.solanocounty.com/depts/mhs/service_locations/default.asp
389;Solano County Mental Health - Counseling;1119 E Monte Vista Ave;95688;(707) 469-4540;https://www.solanocounty.com/depts/mhs/default.asp
390;Homeless Outreach - Solano County Mental Health;1119 E Monte Vista Ave;95688;(707) 553-5592;https://www.solanocounty.com/documents/Housing.pdf
391;AKUA Mind & Body - Mental Health & Drug Addiction Treatment;1119 Sunflower Ave;92627;(888) 834-2582;https://www.akuamindbody.com/
398;Jerry L. Pettis Memorial VA Med Center - Substance Treatment and Recovery;11201 Benton St;92357;(909) 825-7084;https://www.lomalinda.va.gov/
400;United Indian Nations;1122 Davis St;94577;(510) 352-4510;https://unininc.org
401;Victor Valley Christian Church;11223 11th St;92345;(760) 244-4448;http://frc.vesd.net/community_resources/emergency_food
403;BARRT Programs - Oakland;1124 International Blvd;94606;(510) 533-0800;https://www.addictionresource.net/best-drug-rehab-centers/california/oakland/
404;BAART Programs - Oakland;1124 International Blvd;94606;(510) 533-0800;https://baartprograms.com/baart-14th-street/
414;Golden Valley Health Centers;1130 6th St;95354;(866) 682-4845;https://www.gvhc.org/
415;Wellpath Community Care Center;1130 Conroy Ln;95993;(530) 618-8178;https://wellpathcarecenters.com/our-services/
417;BAART Programs - Southeast;11315 S Atlantic Ave;90262;(310) 537-5883;https://baartprograms.com/baart-southeast/
419;Aegis Treatment Centers;1133 Coloma Way;95661;(916) 774-6647;https://pinnacletreatment.com/aegis/
420;Aegis Treatment Centers;1133 Coloma Way;95661;(916) 774-6647;https://pinnacletreatment.com/
422;Central WIC Office - Long Beach Health & Human Services;1133 Rhea St;90806;(562) 570-4000;http://www.longbeach.gov/health/
424;Office of Cynthia S. Chen-Joea and Luis Garcia Ayala;1135 S Sunset Ave;91790;(626) 732-8390;https://www.emanatehealth.org/doctors/providers/cynthia-chen-joea-do/
426;West Los Angeles Regional Library;11360 Santa Monica Blvd;90025;(310) 575-8323;https://www.lapl.org/branches/west-la
428;ClearVue Eye Care;114 N Sunrise Ave;95661;(916) 786-2212;https://www.clearvue.org/
